Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level
D R Wijewardena Mawatha Dematagoda,2025-08-20,07:30,Serious Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Van; Bicycle; Bus,36-45,0,5,High
"Junction of Olcott Mawatha and Sea Street, Colombo 11",2023-04-12,07:47,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Car,18-25,0,4,High
Liberty Plaza Area,2025-07-29,12:35,Minor Injury,Side-impact Collision,Reckless Driving,1,Car,46-55,0,1,High
High Level Road Kirulapone,2025-11-21,18:57,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Three Wheeler; Bicycle; Motorcycle; Car,46-55,0,1,Moderate
Bauddhaloka Mawatha Cinnamon Gardens,2024-10-02,22:08,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Van; Motorcycle,56+,0,2,Low
"Junction of Main Street and First Cross Street, Pettah, Colombo 11",2025-12-23,16:16,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,56+,0,3,Low
"Junction of Union Place and Kumaran Ratnam Road, Colombo 02",2025-02-09,16:20,Minor Injury,Side-impact Collision,Overspeeding,2,Bus; Car,26-35,0,2,Moderate
Havelock Town Junction,2022-02-10,17:31,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,46-55,0,4,Low
Havelock Town Junction,2024-03-23,21:15,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,2,Moderate
Udahamulla Junction,2025-04-29,08:48,Serious Injury,Rear-end Collision,Mechanical Failure,1,Three Wheeler,46-55,0,4,Low
Armour Street Junction,2024-10-21,18:03,Fatal,Rear-end Collision,Unsafe Lane Change,1,Three Wheeler,18-25,1,3,High
Torrington Avenue Colombo 07,2025-08-09,19:45,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Car,26-35,0,2,Low
Nelum Pokuna Area,2022-09-27,14:03,Minor Injury,Pedestrian Collision,Reckless Driving,1,Three Wheeler,26-35,0,1,Moderate
Armour Street Junction,2024-07-02,14:27,Serious Injury,Rear-end Collision,Overspeeding,2,Car; Lorry,36-45,0,6,High
Colombo 07 Junction,2025-12-30,18:11,Minor Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,26-35,0,2,High
Sir Chittampalam A Gardiner Mawatha Fort,2022-11-24,08:48,Fatal,Multi-vehicle Collision,Driver Negligence,4,Three Wheeler; Motorcycle; Lorry; Bicycle,26-35,1,3,High
Mattakkuliya Junction,2025-05-10,08:55,Minor Injury,Side-impact Collision,Overspeeding,4,Motorcycle; Car; Three Wheeler; Bicycle,36-45,0,2,High
Baseline Road Borella,2025-07-16,11:37,Serious Injury,Motorcycle Collision,Driver Negligence,4,Motorcycle; Car; Bus; Bicycle,36-45,0,2,High
Kotahena Junction,2024-12-09,19:57,Minor Injury,Side-impact Collision,Distracted Driving,4,Motorcycle; Car; Three Wheeler; Bus,18-25,0,4,Low
Colombo 07 Junction,2025-04-06,15:02,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,36-45,0,1,Low
Bauddhaloka Mawatha Cinnamon Gardens,2025-07-03,07:46,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Three Wheeler,36-45,0,3,High
Borella Junction,2023-03-13,10:46,Minor Injury,Motorcycle Collision,Driver Negligence,4,Motorcycle; Car; Bus; Van,26-35,0,2,Low
Kochchikade Junction,2022-10-24,05:13,Fatal,Single Vehicle Crash,Reckless Driving,1,Motorcycle,26-35,1,1,High
Borella Police Area,2024-01-22,07:34,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,0,2,Moderate
"Junction of Galle Road and Kawdana Road, Wellawatte, Colombo 06",2025-08-09,17:22,Minor Injury,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Bicycle; Car,26-35,0,2,Moderate
Pettah Clock Tower Area,2023-10-17,14:03,Serious Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,26-35,0,4,High
Hulftsdorp Junction,2023-10-14,20:44,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Three Wheeler; Bus; Car,56+,0,1,Moderate
Havelock Town Junction,2024-02-02,14:11,Serious Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,46-55,0,4,High
"Junction of Havelock Road and Thimbirigasyaya Road, Colombo 05",2025-09-12,21:50,Minor Injury,Side-impact Collision,Reckless Driving,2,Van; Bus,36-45,0,4,Low
Sir Chittampalam A Gardiner Mawatha Fort,2023-12-24,11:52,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Three Wheeler,36-45,0,2,High
High Level Road Kirulapone,2022-06-16,09:13,Minor Injury,Side-impact Collision,Driver Negligence,1,Car,56+,0,4,Moderate
High Level Road Kirulapone,2022-06-04,01:57,Serious Injury,Single Vehicle Crash,Overspeeding,1,Van,36-45,0,5,Moderate
Fort Railway Station Area,2024-01-26,12:09,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,36-45,0,3,Low
Reid Avenue Colombo 07,2022-07-06,07:08,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Three Wheeler; Bicycle; Van; Motorcycle,36-45,0,1,Low
Borella Junction,2023-07-29,11:11,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Motorcycle,26-35,0,4,High
Pettah Market Area,2024-07-01,07:05,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Van; Three Wheeler; Bicycle; Motorcycle,46-55,0,2,Moderate
Fort Railway Station Area,2024-09-25,18:51,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,18-25,0,3,High
Havelock Town Junction,2024-02-03,12:31,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,26-35,0,1,High
Nugegoda Town,2024-09-20,10:19,Minor Injury,Motorcycle Collision,Unsafe Lane Change,3,Motorcycle; Bicycle; Car,36-45,0,3,Low
Sea Street Kotahena,2024-03-31,11:44,Minor Injury,Side-impact Collision,Overspeeding,4,Motorcycle; Van; Three Wheeler; Car,26-35,0,2,Moderate
Messenger Street Pettah,2023-06-24,18:59,Minor Injury,Side-impact Collision,Driver Fatigue,1,Bicycle,26-35,0,1,High
Independence Square Area,2024-04-11,19:15,Minor Injury,Rear-end Collision,Failure to Yield,2,Bus; Motorcycle,18-25,0,3,Moderate
Mahanama College Junction,2024-04-23,05:06,Fatal,Multi-vehicle Collision,Driver Fatigue,2,Car; Bus,18-25,2,7,High
Duplication Road Bambalapitiya,2024-01-06,17:41,Minor Injury,Rear-end Collision,Overspeeding,2,Car; Motorcycle,36-45,0,2,Low
Union Place,2024-08-23,13:10,Serious Injury,Head-on Collision,Reckless Driving,2,Motorcycle; Car,26-35,0,2,High
Sea Street Kotahena,2025-11-20,21:07,Minor Injury,Rear-end Collision,Driver Negligence,1,Bicycle,18-25,0,3,Moderate
Slave Island Junction,2025-09-23,21:24,Serious Injury,Rear-end Collision,Overspeeding,1,Bicycle,46-55,0,4,High
Borella Junction,2023-05-26,23:12,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Three Wheeler; Car,46-55,0,2,Low
Grandpass Junction,2024-12-11,04:38,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Car; Motorcycle; Three Wheeler,26-35,0,2,Moderate
Bambalapitiya Railway Station Area,2024-12-24,07:33,Minor Injury,Motorcycle Collision,Pedestrian Negligence,4,Motorcycle; Bus; Car; Three Wheeler,26-35,0,3,Low
D R Wijewardena Mawatha Dematagoda,2024-12-12,13:30,Minor Injury,Side-impact Collision,Poor Visibility,4,Car; Motorcycle; Three Wheeler; Bus,26-35,0,3,Low
Mattakkuliya Junction,2024-04-12,10:48,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Lorry,46-55,0,1,Low
Baseline Road Borella,2022-10-26,19:53,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Three Wheeler; Van; Bicycle; Motorcycle,26-35,0,1,Low
Pettah Clock Tower Area,2023-07-17,16:56,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,36-45,0,1,Moderate
Borella Junction,2023-07-30,21:26,Minor Injury,Side-impact Collision,Reckless Driving,2,Van; Bicycle,36-45,0,1,High
Maradana Junction,2024-12-31,12:42,Minor Injury,Rear-end Collision,Reckless Driving,3,Lorry; Three Wheeler; Motorcycle,36-45,0,3,Moderate
Pettah Clock Tower Area,2022-12-22,14:18,Serious Injury,Rear-end Collision,Distracted Driving,2,Car; Bicycle,36-45,0,4,High
High Level Road Kirulapone,2024-07-23,09:13,Fatal,Head-on Collision,Reckless Driving,1,Van,18-25,2,3,High
Maradana Junction,2025-09-25,17:14,Fatal,Single Vehicle Crash,Driver Fatigue,1,Lorry,26-35,1,1,High
High Level Road Kirulapone,2025-05-05,07:46,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Three Wheeler; Lorry; Motorcycle,36-45,0,2,Low
Sir Chittampalam A Gardiner Mawatha Fort,2024-02-28,03:34,Serious Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Lorry,36-45,0,6,High
Grandpass Junction,2025-09-25,17:18,Minor Injury,Multi-vehicle Collision,Reckless Driving,4,Motorcycle; Three Wheeler; Car; Bicycle,26-35,0,4,Moderate
Mattakkuliya Junction,2025-08-23,19:58,Minor Injury,Rear-end Collision,Driver Fatigue,4,Three Wheeler; Bus; Motorcycle; Lorry,18-25,0,4,Low
Kollupitiya Railway Station Area,2025-10-16,21:16,Minor Injury,Rear-end Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Car,18-25,0,2,Low
Pettah Market Area,2024-01-27,19:52,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Car; Motorcycle,36-45,0,1,Moderate
Borella Junction,2024-06-29,07:18,Fatal,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,18-25,1,4,Moderate
Bambalapitiya Railway Station Area,2022-07-29,20:22,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,3,High
Sir Chittampalam A Gardiner Mawatha Fort,2024-05-02,07:11,Minor Injury,Rear-end Collision,Reckless Driving,4,Lorry; Motorcycle; Three Wheeler; Car,18-25,0,2,Low
Union Place,2025-05-13,22:34,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,18-25,0,4,Low
Wellawatte Junction,2023-11-12,09:07,Fatal,Rear-end Collision,Overspeeding,1,Three Wheeler,26-35,1,1,Moderate
Galle Road Fort,2022-01-29,09:09,Serious Injury,Side-impact Collision,Overspeeding,1,Car,26-35,0,5,High
Thalawathugoda Junction,2025-02-10,08:44,Fatal,Side-impact Collision,Distracted Driving,1,Motorcycle,26-35,1,2,High
"No. 102 Galle Road, Wellawatte, Colombo 06",2025-10-28,14:51,Serious Injury,Multi-vehicle Collision,Driver Fatigue,4,Car; Bus; Motorcycle; Three Wheeler,46-55,0,6,High
"Junction of Maliban Junction and Old Galle Road, Rathmalana",2025-09-29,20:45,Minor Injury,Pedestrian Collision,Failure to Yield,2,Motorcycle; Three Wheeler,26-35,0,1,High
Mattakkuliya Junction,2022-08-30,16:50,Minor Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,26-35,0,1,Low
"Junction of Baseline Road and D R Wijewardena Mawatha, Colombo 09",2024-10-06,08:38,Minor Injury,Head-on Collision,Unsafe Lane Change,3,Bicycle; Motorcycle; Three Wheeler,26-35,0,1,Low
Dematagoda Junction,2023-03-16,19:00,Serious Injury,Pedestrian Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,46-55,0,6,High
T B Jayah Mawatha Maradana,2024-06-22,17:56,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,56+,0,1,Low
Wellawatte Junction,2022-12-13,06:23,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,0,4,Moderate
Maradana Junction,2024-06-07,16:45,Fatal,Multi-vehicle Collision,Drunk Driving,4,Three Wheeler; Motorcycle; Car; Bicycle,18-25,2,8,High
Maradana Railway Station Area,2022-06-26,14:04,Minor Injury,Pedestrian Collision,Driver Negligence,2,Car; Bicycle,26-35,0,2,Low
Bambalapitiya Junction,2022-03-30,23:15,Minor Injury,Pedestrian Collision,Overspeeding,1,Lorry,18-25,0,2,Moderate
Galle Road Fort,2025-02-27,08:36,Serious Injury,Side-impact Collision,Reckless Driving,2,Three Wheeler; Van,26-35,0,6,High
Wellawatte Junction,2025-07-27,19:29,Minor Injury,Side-impact Collision,Poor Visibility,2,Van; Three Wheeler,46-55,0,3,Low
Bauddhaloka Mawatha Havelock Town,2023-05-13,16:11,Serious Injury,Single Vehicle Crash,Drunk Driving,1,Car,36-45,0,5,Moderate
Kollupitiya Junction,2025-06-13,07:04,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,36-45,0,6,Moderate
Maradana Junction,2024-11-17,21:01,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,18-25,0,3,Low
Armour Street Junction,2023-05-16,19:57,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Bicycle; Lorry,46-55,0,1,Moderate
Battaramulla Town,2024-09-17,08:52,Minor Injury,Head-on Collision,Driver Negligence,2,Car; Motorcycle,18-25,0,3,Low
Dematagoda Junction,2025-12-07,19:33,Minor Injury,Rear-end Collision,Driver Negligence,2,Car; Van,56+,0,3,Low
Sir Chittampalam A Gardiner Mawatha Fort,2025-01-14,13:11,Serious Injury,Rear-end Collision,Unsafe Lane Change,2,Motorcycle; Car,56+,0,2,High
Mattakkuliya Junction,2025-11-06,17:03,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,3,High
Wellawatte Junction,2024-11-01,09:49,Minor Injury,Rear-end Collision,Poor Visibility,3,Motorcycle; Three Wheeler; Car,18-25,0,4,Moderate
Sea Street Kotahena,2023-12-21,16:25,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,46-55,0,1,Low
Maradana Railway Station Area,2022-02-19,14:28,Serious Injury,Side-impact Collision,Distracted Driving,1,Three Wheeler,56+,0,6,High
High Level Road Kirulapone,2023-11-06,09:34,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Motorcycle; Bus; Lorry,46-55,0,3,Moderate
"No. 55 Dharmapala Mawatha, Colombo 07",2025-10-08,07:41,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bicycle,46-55,0,1,Moderate
Sea Street Pettah,2025-07-21,07:31,Serious Injury,Rear-end Collision,Overspeeding,2,Bus; Car,18-25,0,5,Low
Panchikawatte,2022-06-17,10:23,Minor Injury,Pedestrian Collision,Driver Fatigue,1,Motorcycle,18-25,0,1,Moderate
Union Place Slave Island,2022-10-31,19:51,Minor Injury,Single Vehicle Crash,Distracted Driving,1,Three Wheeler,36-45,0,4,Low
Ibbanwala Junction,2025-03-04,18:39,Minor Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Car; Bicycle,46-55,0,3,Low
Sri Jayawardenepura Kotte Junction,2023-09-02,21:43,Minor Injury,Rear-end Collision,Poor Visibility,1,Car,26-35,0,2,Low
Sir Chittampalam A Gardiner Mawatha Fort,2025-02-20,07:50,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Lorry; Three Wheeler,26-35,0,2,Low
Union Place,2023-04-28,22:05,Minor Injury,Rear-end Collision,Driver Negligence,1,Van,18-25,0,3,High
High Level Road Kirulapone,2025-02-28,04:26,Serious Injury,Multi-vehicle Collision,Reckless Driving,3,Motorcycle; Car; Bicycle,36-45,0,4,High
Slave Island Junction,2022-05-30,08:21,Serious Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,18-25,0,2,Moderate
Galle Road Kollupitiya,2023-08-05,17:09,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Car; Three Wheeler; Motorcycle,18-25,0,2,Low
Mattakkuliya Junction,2024-01-01,18:36,Serious Injury,Motorcycle Collision,Distracted Driving,4,Motorcycle; Bicycle; Three Wheeler; Van,36-45,0,3,High
Duplication Road Bambalapitiya,2025-03-08,07:23,Serious Injury,Single Vehicle Crash,Reckless Driving,1,Lorry,26-35,0,2,High
Ibbanwala Junction,2025-02-23,08:01,Fatal,Multi-vehicle Collision,Driver Fatigue,4,Lorry; Motorcycle; Bicycle; Van,26-35,2,4,Moderate
Beira Lake Road Colombo 02,2025-11-07,08:47,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Low
Maradana Junction,2024-03-24,16:46,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Car; Motorcycle; Three Wheeler,26-35,0,2,Low
Pettah Market Area,2022-12-01,11:08,Minor Injury,Rear-end Collision,Reckless Driving,2,Motorcycle; Car,18-25,0,3,Low
Duplication Road Bambalapitiya,2024-10-06,23:28,Serious Injury,Side-impact Collision,Driver Negligence,2,Bus; Car,18-25,0,2,High
"Junction of De Saram Road and Hospital Road, Dehiwela",2022-10-02,19:53,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Three Wheeler; Van; Lorry,26-35,0,2,Moderate
Sea Street Kotahena,2023-01-01,22:59,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,36-45,0,1,Low
Narahenpita Junction,2024-11-30,12:55,Minor Injury,Pedestrian Collision,Driver Negligence,1,Lorry,26-35,0,1,Low
Borella Junction,2025-09-23,21:22,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bicycle,26-35,0,2,Low
Maya Avenue Junction,2024-02-03,09:15,Minor Injury,Pedestrian Collision,Poor Visibility,1,Motorcycle,26-35,0,2,Moderate
Union Place Slave Island,2025-05-07,09:53,Serious Injury,Multi-vehicle Collision,Driver Negligence,2,Three Wheeler; Van,26-35,0,2,Moderate
Borella Junction,2024-12-21,07:19,Minor Injury,Rear-end Collision,Driver Fatigue,2,Bicycle; Three Wheeler,36-45,0,3,Moderate
Mattakkuliya Junction,2022-11-18,18:14,Serious Injury,Rear-end Collision,Distracted Driving,1,Car,18-25,0,2,Low
High Level Road Maharagama,2022-10-20,07:28,Minor Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,26-35,0,3,Low
Havelock Place Area,2024-03-30,18:21,Serious Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Car,26-35,0,6,High
Fort Railway Station Area,2023-10-29,12:17,Minor Injury,Motorcycle Collision,Distracted Driving,3,Motorcycle; Lorry; Car,56+,0,2,Moderate
Sea Street Kotahena,2025-11-12,03:40,Minor Injury,Rear-end Collision,Driver Negligence,1,Car,18-25,0,1,Low
Grandpass Junction,2024-12-26,13:51,Minor Injury,Side-impact Collision,Unsafe Lane Change,2,Bus; Bicycle,26-35,0,1,Low
Darley Road Cinnamon Gardens,2025-02-24,06:40,Minor Injury,Pedestrian Collision,Driver Negligence,2,Bus; Motorcycle,36-45,0,1,Low
Madampitiya Road,2024-02-25,20:18,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bicycle,46-55,0,2,High
"No. 09 Station Road, Maharagama",2024-12-26,11:14,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,18-25,0,1,Moderate
Fort Railway Station Area,2024-06-20,17:32,Minor Injury,Motorcycle Collision,Poor Visibility,4,Motorcycle; Bus; Three Wheeler; Bicycle,46-55,0,2,Low
Baseline Road Borella,2023-02-23,17:14,Fatal,Motorcycle Collision,Driver Negligence,4,Motorcycle; Van; Three Wheeler; Bicycle,26-35,2,6,High
Bambalapitiya Railway Station Area,2025-01-06,09:47,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Three Wheeler; Car; Motorcycle,26-35,0,1,Moderate
Union Place,2025-04-17,08:51,Serious Injury,Side-impact Collision,Driver Negligence,1,Car,18-25,0,5,High
Maharagama Junction,2024-10-21,22:49,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,26-35,0,4,High
Wellawatte Junction,2023-08-18,05:40,Minor Injury,Rear-end Collision,Driver Fatigue,1,Lorry,18-25,0,4,Low
Pettah Clock Tower Area,2023-05-31,02:18,Minor Injury,Rear-end Collision,Driver Fatigue,2,Motorcycle; Car,18-25,0,3,Low
"No. 56 Baseline Road, Dematagoda, Colombo 09",2024-11-22,09:30,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Lorry,56+,0,6,High
Liberty Plaza Area,2025-08-25,22:00,Serious Injury,Pedestrian Collision,Distracted Driving,2,Car; Van,36-45,0,3,High
Hulftsdorp Junction,2022-05-07,23:21,Fatal,Side-impact Collision,Driver Fatigue,2,Bicycle; Three Wheeler,56+,1,1,High
Panchikawatte,2023-05-14,09:58,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Car,18-25,0,3,Moderate
Dematagoda Junction,2024-03-23,09:39,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Car,18-25,0,2,Low
Dematagoda Junction,2025-06-16,17:18,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,36-45,0,1,Low
Bambalapitiya Junction,2023-08-06,12:43,Minor Injury,Pedestrian Collision,Reckless Driving,2,Three Wheeler; Motorcycle,26-35,0,2,Low
Liberty Plaza Area,2025-10-14,11:07,Minor Injury,Side-impact Collision,Driver Negligence,1,Bicycle,36-45,0,2,Low
Fort Railway Station Area,2022-07-03,17:07,Fatal,Side-impact Collision,Overspeeding,2,Three Wheeler; Car,56+,1,3,High
Sea Street Junction,2024-12-19,15:36,Minor Injury,Multi-vehicle Collision,Reckless Driving,2,Three Wheeler; Van,18-25,0,3,Moderate
Galle Road Fort,2025-02-19,19:46,Minor Injury,Multi-vehicle Collision,Driver Negligence,3,Car; Three Wheeler; Bus,36-45,0,3,Low
Narahenpita Junction,2025-12-05,18:55,Fatal,Side-impact Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,1,4,High
Bambalapitiya Junction,2022-02-08,01:19,Minor Injury,Multi-vehicle Collision,Reckless Driving,4,Car; Motorcycle; Bicycle; Three Wheeler,26-35,0,4,Low
Ibbanwala Junction,2025-05-08,09:05,Fatal,Rear-end Collision,Overspeeding,2,Motorcycle; Car,36-45,1,3,Low
D R Wijewardena Mawatha Fort,2024-06-07,08:22,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Three Wheeler; Bus; Car,46-55,0,1,Low
Kotahena Junction,2024-03-15,09:41,Minor Injury,Rear-end Collision,Overspeeding,1,Motorcycle,18-25,0,2,Low
"Junction of High Level Road and Pagoda Road, Nugegoda",2024-04-14,18:27,Minor Injury,Rear-end Collision,Overspeeding,4,Three Wheeler; Van; Motorcycle; Car,36-45,0,2,Moderate
Kotahena Street Colombo 13,2024-01-28,21:18,Fatal,Rear-end Collision,Reckless Driving,2,Three Wheeler; Car,46-55,1,1,High
Kollupitiya Flyover Approach,2023-12-31,00:58,Minor Injury,Multi-vehicle Collision,Overspeeding,2,Three Wheeler; Motorcycle,18-25,0,2,Moderate
Wellawatte Junction,2022-03-05,04:45,Minor Injury,Head-on Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,56+,0,4,Moderate
Liberty Plaza Area,2025-03-01,11:58,Minor Injury,Rear-end Collision,Driver Fatigue,2,Lorry; Car,36-45,0,3,Low
Wellawatte Junction,2025-01-18,19:09,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Three Wheeler; Bicycle; Car,36-45,0,2,Low
Mutwal Road Mutwal,2023-05-20,17:38,Serious Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,26-35,0,4,High
"Junction of Front Street and Dam Street, Colombo 12",2025-03-27,10:59,Fatal,Rear-end Collision,Overspeeding,2,Car; Three Wheeler,18-25,1,5,High
Bauddhaloka Mawatha Cinnamon Gardens,2023-11-17,07:59,Fatal,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bus,26-35,1,3,Low
Union Place,2025-11-04,19:31,Minor Injury,Head-on Collision,Driver Fatigue,2,Bus; Motorcycle,18-25,0,2,Low
Havelock Town Junction,2022-04-09,21:40,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,18-25,0,2,Low
Union Place,2024-05-30,14:43,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Bicycle; Van; Motorcycle,26-35,0,4,Low
Pamankada Junction,2023-11-07,16:23,Serious Injury,Side-impact Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Bus,36-45,0,4,High
Kochchikade Junction,2024-01-01,15:22,Minor Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Car; Three Wheeler,36-45,0,2,Low
Liberty Plaza Area,2023-12-03,02:07,Minor Injury,Side-impact Collision,Distracted Driving,1,Van,46-55,0,3,High
Hulftsdorp Junction,2025-02-04,05:33,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,26-35,0,3,High
Borella Junction,2025-09-20,08:37,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Three Wheeler; Car; Van; Lorry,18-25,0,1,High
Union Place Borella,2025-01-06,04:37,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,18-25,0,3,High
D R Wijewardena Mawatha Fort,2022-11-15,17:34,Minor Injury,Rear-end Collision,Overspeeding,2,Van; Car,36-45,0,2,Low
Duplication Road Bambalapitiya,2023-02-01,07:31,Minor Injury,Pedestrian Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,26-35,0,2,Moderate
Kotahena Junction,2024-05-26,17:13,Fatal,Head-on Collision,Overspeeding,1,Three Wheeler,26-35,1,2,High
High Level Road Kirulapone,2023-08-26,15:11,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Van,26-35,0,1,Moderate
Pettah Market Area,2023-08-27,08:16,Minor Injury,Head-on Collision,Unsafe Lane Change,4,Car; Motorcycle; Three Wheeler; Van,26-35,0,4,Low
Maradana Junction,2025-08-29,23:47,Minor Injury,Pedestrian Collision,Distracted Driving,2,Motorcycle; Three Wheeler,18-25,0,2,High
High Level Road Kirulapone,2023-09-27,13:27,Serious Injury,Motorcycle Collision,Reckless Driving,1,Motorcycle,36-45,0,6,High
Thimbirigasyaya Junction,2022-09-15,19:20,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Car,18-25,0,2,Low
Armour Street Junction,2025-08-21,19:47,Serious Injury,Multi-vehicle Collision,Reckless Driving,4,Car; Motorcycle; Three Wheeler; Bus,18-25,0,4,Moderate
Pettah Clock Tower Area,2022-05-13,08:36,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,56+,0,1,Low
Galle Road Fort,2024-01-11,19:40,Minor Injury,Side-impact Collision,Driver Negligence,1,Bus,56+,0,2,Low
Pettah Market Area,2025-07-10,10:16,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,56+,0,2,High
Ibbanwala Junction,2023-01-17,14:14,Minor Injury,Rear-end Collision,Overspeeding,1,Bus,36-45,0,3,Low
Ibbanwala Junction,2025-10-15,10:02,Minor Injury,Rear-end Collision,Driver Fatigue,1,Three Wheeler,26-35,0,1,High
Liberty Plaza Area,2023-11-05,12:14,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Car,46-55,0,1,Moderate
Hulftsdorp Junction,2023-07-04,15:38,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,18-25,0,2,Low
Kotahena Junction,2024-09-11,18:37,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Lorry,46-55,0,3,Low
