Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Panchikawatte Junction,2024-12-16,14:02,Serious Injury,Rear-end Collision,Distracted Driving,3,Bicycle; Motorcycle; Three Wheeler,36-45,0,6,High,"Panchikawatte Junction, Colombo, Sri Lanka","Panchikawatte Junction, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835,Overcast,0.002,6.1,85.3,93.8,2024-12-16T06:14:48,2024-12-16T17:58:08,Overcast,Good
Mattakkuliya Junction,2024-03-28,11:35,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Bus; Car; Van,36-45,0,1,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.265,13.9,81.8,77.7,2024-03-28T06:10:48,2024-03-28T18:20:38,Light Rain,Good
Sir Chittampalam A Gardiner Mawatha Fort,2023-08-04,14:15,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,18-25,0,2,Low,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,Partially cloudy,0.0,8.3,78.7,58.5,2023-08-04T06:04:40,2023-08-04T18:29:01,Partially Cloudy,Good
Pettah Market Area,2025-01-24,21:41,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Van,18-25,0,2,Low,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187,Partially cloudy,0.0,5.9,84.4,35.8,2025-01-24T06:28:56,2025-01-24T18:16:46,Partially Cloudy,Moderate
Mutwal Road Mutwal,2022-07-08,18:49,Minor Injury,Head-on Collision,Driver Negligence,1,Bicycle,56+,0,3,Low,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458,Partially cloudy,0.0,8.2,74.6,23.7,2022-07-08T06:00:37,2022-07-08T18:30:54,Partially Cloudy,Good
Modara Junction,2025-09-29,14:04,Minor Injury,Rear-end Collision,Driver Negligence,2,Lorry; Bicycle,36-45,0,1,Low,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533,"Rain, Partially cloudy",0.146,7.9,79.1,36.6,2025-09-29T05:58:53,2025-09-29T18:03:08,Light Rain,Good
Grandpass Junction,2023-06-25,13:40,Minor Injury,Pedestrian Collision,Driver Negligence,1,Bicycle,56+,0,1,Moderate,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531,"Rain, Partially cloudy",0.099,7.7,82.1,72.2,2023-06-25T05:57:35,2023-06-25T18:28:58,Light Rain,Good
New Kelani Bridge Approach,2025-11-20,18:06,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Van,26-35,0,3,Moderate,"New Kelani Bridge Approach, Colombo, Sri Lanka","New Kelani Bridge Approach, Colombo, Sri Lanka","New Kelani Brg, Sri Lanka",6.9549249,79.8827484,Clear,0.032,6.9,77.2,19.8,2025-11-20T06:02:43,2025-11-20T17:49:53,Clear,Good
Bambalapitiya Railway Station Area,2024-04-14,07:41,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,18-25,0,4,Low,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574,Partially cloudy,0.004,5.7,85.4,44.4,2024-04-14T06:02:51,2024-04-14T18:19:05,Partially Cloudy,Moderate
Bambalapitiya Junction,2025-08-14,22:22,Minor Injury,Side-impact Collision,Failure to Yield,2,Motorcycle; Van,26-35,0,1,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Partially cloudy,0.016,7.4,77.4,30.0,2025-08-14T06:04:51,2025-08-14T18:25:55,Partially Cloudy,Good
Sir Chittampalam A Gardiner Mawatha Fort,2023-04-12,19:23,Minor Injury,Head-on Collision,Driver Negligence,1,Bus,26-35,0,3,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,Partially cloudy,0.004,8.4,75.7,30.4,2023-04-12T06:04:02,2023-04-12T18:19:15,Partially Cloudy,Good
Mount Lavinia Junction,2025-09-24,15:53,Minor Injury,Side-impact Collision,Reckless Driving,1,Bicycle,46-55,0,3,Low,"Mount Lavinia Junction, Colombo, Sri Lanka","Mount Lavinia Junction, Colombo, Sri Lanka","Mount Lavinia Junction, Dehiwala-Mount Lavinia, Sri Lanka",6.8305983,79.8677664,"Rain, Partially cloudy",0.398,7.4,72.9,31.3,2025-09-24T05:59:38,2025-09-24T18:05:47,Light Rain,Good
Madampitiya Road,2022-07-03,19:51,Fatal,Head-on Collision,Driver Fatigue,3,Car; Lorry; Three Wheeler,18-25,1,4,Moderate,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976,"Rain, Partially cloudy",0.04,7.7,80.0,37.8,2022-07-03T05:59:29,2022-07-03T18:30:20,Light Rain,Good
Alfred Place Colombo 03,2025-01-17,12:53,Serious Injury,Pedestrian Collision,Reckless Driving,1,Van,46-55,0,6,High,"Alfred Place Colombo 03, Colombo, Sri Lanka","Alfred Place Colombo 03, Colombo, Sri Lanka","Alfred Pl, Colombo, Sri Lanka",6.9024159,79.8557709,Partially cloudy,0.0,5.9,74.0,38.9,2025-01-17T06:27:45,2025-01-17T18:13:57,Partially Cloudy,Moderate
Kotahena Junction,2023-11-02,13:40,Minor Injury,Side-impact Collision,Pedestrian Negligence,2,Three Wheeler; Motorcycle,36-45,0,3,High,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,"Rain, Partially cloudy",0.793,7.2,85.2,62.7,2023-11-02T05:58:00,2023-11-02T17:50:23,Light Rain,Good
Bambalapitiya Railway Station Area,2024-10-03,18:55,Minor Injury,Side-impact Collision,Overspeeding,1,Three Wheeler,36-45,0,1,High,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574,Partially cloudy,0.0,6.1,82.8,45.0,2024-10-03T05:58:17,2024-10-03T18:00:58,Partially Cloudy,Good
Pettah Clock Tower Area,2024-08-31,02:27,Serious Injury,Motorcycle Collision,Overspeeding,3,Motorcycle; Bicycle; Three Wheeler,26-35,0,3,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,"Rain, Partially cloudy",0.286,6.6,79.9,70.3,2024-08-31T06:03:24,2024-08-31T18:18:26,Light Rain,Good
High Level Road Kirulapone,2023-06-09,16:13,Serious Injury,Rear-end Collision,Reckless Driving,2,Bicycle; Car,26-35,0,6,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,"Rain, Partially cloudy",0.173,8.1,82.4,65.0,2023-06-09T05:54:30,2023-06-09T18:25:19,Light Rain,Good
Dematagoda Junction,2024-01-01,20:38,Fatal,Head-on Collision,Driver Fatigue,1,Motorcycle,36-45,2,5,High,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,"Rain, Partially cloudy",0.644,6.7,88.1,71.2,2024-01-01T06:22:07,2024-01-01T18:05:46,Light Rain,Good
Justice Akbar Mawatha Slave Island,2025-04-24,08:37,Minor Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Car,26-35,0,3,High,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,"Rain, Partially cloudy",0.032,6.8,75.5,28.3,2025-04-24T05:59:03,2025-04-24T18:18:45,Light Rain,Good
"Junction of Reid Avenue and Independence Avenue, Colombo 07",2023-09-18,19:28,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Car,26-35,0,2,High,"Junction of Reid Avenue and Independence Avenue, Colombo 07, Colombo, Sri Lanka","Junction of Reid Avenue and Independence Avenue, Colombo 07, Colombo, Sri Lanka","Independence Ave, Colombo 00700, Sri Lanka",6.9063152,79.8660112,"Rain, Partially cloudy",1.552,7.3,90.8,77.1,2023-09-18T06:00:42,2023-09-18T18:09:18,Light Rain,Good
High Level Road Nugegoda,2023-08-20,17:07,Fatal,Rear-end Collision,Reckless Driving,2,Motorcycle; Bicycle,56+,1,4,High,"High Level Road Nugegoda, Colombo, Sri Lanka","High Level Road Nugegoda, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8780486,79.8770959,Partially cloudy,0.0,8.2,75.3,50.8,2023-08-20T06:04:34,2023-08-20T18:23:47,Partially Cloudy,Good
Hulftsdorp Junction,2023-10-19,11:38,Fatal,Rear-end Collision,Driver Fatigue,1,Lorry,26-35,1,5,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",1.838,7.1,89.5,67.3,2023-10-19T05:57:08,2023-10-19T17:54:15,Light Rain,Good
Modara Junction,2024-02-15,14:49,Serious Injury,Side-impact Collision,Driver Negligence,1,Car,56+,0,6,Moderate,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533,Partially cloudy,0.0,6.1,76.2,43.3,2024-02-15T06:27:48,2024-02-15T18:22:02,Partially Cloudy,Good
Sea Street Pettah,2025-02-16,09:12,Serious Injury,Multi-vehicle Collision,Poor Visibility,4,Motorcycle; Car; Three Wheeler; Bicycle,36-45,0,6,High,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,Clear,0.0,7.8,70.9,13.0,2025-02-16T06:27:25,2025-02-16T18:22:15,Clear,Good
Sea Street Kotahena,2024-08-16,20:10,Serious Injury,Motorcycle Collision,Unsafe Lane Change,1,Motorcycle,18-25,0,3,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,Partially cloudy,0.004,5.1,86.0,69.9,2024-08-16T06:04:45,2024-08-16T18:25:04,Partially Cloudy,Moderate
Mattakkuliya Junction,2024-04-03,14:50,Serious Injury,Single Vehicle Crash,Overspeeding,1,Motorcycle,18-25,0,6,Moderate,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.091,7.1,78.2,50.5,2024-04-03T06:07:52,2024-04-03T18:20:00,Light Rain,Good
Pettah Clock Tower Area,2024-05-17,09:46,Minor Injury,Side-impact Collision,Distracted Driving,3,Motorcycle; Van; Car,46-55,0,2,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,"Rain, Partially cloudy",0.016,5.9,91.4,47.1,2024-05-17T05:53:47,2024-05-17T18:20:33,Light Rain,Moderate
Galle Road Fort,2025-12-20,21:10,Serious Injury,Single Vehicle Crash,Poor Visibility,1,Lorry,56+,0,2,Moderate,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,Partially cloudy,0.0,6.0,74.5,21.4,2025-12-20T06:16:43,2025-12-20T17:59:56,Partially Cloudy,Moderate
"Junction of Sea Street and St. Anthony's Mawatha, Colombo 13",2022-09-19,16:49,Minor Injury,Side-impact Collision,Poor Visibility,1,Three Wheeler,46-55,0,4,Low,"Junction of Sea Street and St. Anthony's Mawatha, Colombo 13, Colombo, Sri Lanka","Junction of Sea Street and St. Anthony's Mawatha, Colombo 13, Colombo, Sri Lanka","Street Anthony's Mawatha, Colombo 01300, Sri Lanka",6.9460205,79.8562376,Partially cloudy,0.0,6.9,80.4,25.9,2022-09-19T06:00:28,2022-09-19T18:08:37,Partially Cloudy,Good
Narahenpita Junction,2025-11-11,09:04,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Car,26-35,0,1,Low,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,"Rain, Partially cloudy",0.183,6.5,79.2,34.6,2025-11-11T05:59:55,2025-11-11T17:49:26,Light Rain,Good
Kochchikade Junction,2025-03-05,07:29,Serious Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,26-35,0,4,High,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243,Clear,0.0,6.6,73.0,13.4,2025-03-05T06:21:44,2025-03-05T18:22:43,Clear,Good
Armour Street Junction,2022-02-02,13:09,Minor Injury,Single Vehicle Crash,Overspeeding,1,Bicycle,18-25,0,4,Low,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Clear,0.0,6.7,71.4,7.6,2022-02-02T06:29:18,2022-02-02T18:19:32,Clear,Good
Borella Junction,2023-09-28,10:07,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Three Wheeler; Van,26-35,0,1,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",1.588,7.9,88.2,74.2,2023-09-28T05:59:05,2023-09-28T18:03:55,Light Rain,Good
"Junction of Rajagiriya Flyover Approach and High Level Road, Rajagiriya",2023-05-26,06:41,Fatal,Rear-end Collision,Unsafe Lane Change,3,Three Wheeler; Car; Motorcycle,36-45,1,3,High,"Junction of Rajagiriya Flyover Approach and High Level Road, Rajagiriya, Colombo, Sri Lanka","Junction of Rajagiriya Flyover Approach and High Level Road, Rajagiriya, Colombo, Sri Lanka","Rajagiriya Flyover, Rajagiriya Flyover, Sri Lanka",6.9089212,79.8957392,Partially cloudy,0.002,8.6,79.9,59.9,2023-05-26T05:53:25,2023-05-26T18:22:04,Partially Cloudy,Good
"No. 27 Flower Road, Colombo 03",2023-06-30,19:13,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Bicycle; Van; Motorcycle,18-25,0,1,Low,"No. 27 Flower Road, Colombo 03, Colombo, Sri Lanka","No. 27 Flower Road, Colombo 03, Colombo, Sri Lanka","27 Flower Rd, Colombo 00700, Sri Lanka",6.909893899999999,79.857517,Partially cloudy,0.004,8.5,83.7,66.0,2023-06-30T05:58:44,2023-06-30T18:29:52,Partially Cloudy,Good
Kollupitiya Junction,2024-07-16,07:24,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,4,Low,"Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya - Sri Jayewardenepura Rd, Colombo, Sri Lanka",6.9117245,79.8614617,"Rain, Partially cloudy",0.213,7.3,83.9,70.7,2024-07-16T06:02:23,2024-07-16T18:31:15,Light Rain,Good
Borella Junction,2023-09-08,07:15,Minor Injury,Side-impact Collision,Driver Negligence,1,Car,18-25,0,3,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",1.192,7.8,84.5,66.3,2023-09-08T06:02:21,2023-09-08T18:14:42,Light Rain,Good
Borella Junction,2022-05-13,20:35,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",1.188,7.3,89.6,42.0,2022-05-13T05:54:18,2022-05-13T18:19:53,Light Rain,Good
"Junction of Galle Road and Station Road, Dehiwela",2023-04-20,06:02,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Van,18-25,0,3,Moderate,"Junction of Galle Road and Station Road, Dehiwela, Colombo, Sri Lanka","Junction of Galle Road and Station Road, Dehiwela, Colombo, Sri Lanka","Station Rd & Galle Rd, Colombo, Sri Lanka",6.893782799999999,79.8554327,Partially cloudy,0.016,8.1,77.3,46.6,2023-04-20T06:00:42,2023-04-20T18:18:49,Partially Cloudy,Good
Union Place Borella,2025-09-28,13:03,Minor Injury,Head-on Collision,Failure to Yield,2,Bicycle; Motorcycle,36-45,0,2,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,Partially cloudy,0.092,7.4,81.3,37.8,2025-09-28T05:59:01,2025-09-28T18:03:40,Partially Cloudy,Good
Darley Road Cinnamon Gardens,2023-02-12,22:12,Serious Injury,Rear-end Collision,Reckless Driving,2,Three Wheeler; Car,26-35,0,5,High,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451,Partially cloudy,0.0,7.7,76.8,35.5,2023-02-12T06:28:19,2023-02-12T18:21:37,Partially Cloudy,Good
Colombo Fort Bus Stand Area,2023-10-25,21:14,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Car,36-45,0,2,High,"Colombo Fort Bus Stand Area, Colombo, Sri Lanka","Colombo Fort Bus Stand Area, Colombo, Sri Lanka","WVM4+6G8 Bastian Mawatha Bus Station, Olcott Mawatha, Colombo, Sri Lanka",6.932847,79.856589,"Rain, Partially cloudy",0.12,7.8,82.7,56.7,2023-10-25T05:57:15,2023-10-25T17:52:16,Light Rain,Good
Maharagama Town,2022-04-01,04:47,Minor Injury,Multi-vehicle Collision,Mechanical Failure,2,Three Wheeler; Bus,46-55,0,2,Moderate,"Maharagama Town, Colombo, Sri Lanka","Maharagama Town, Colombo, Sri Lanka","Maharagama Town, Maharagama, Sri Lanka",6.8446801,79.9342155,"Rain, Partially cloudy",0.048,8.1,80.2,20.9,2022-04-01T06:09:04,2022-04-01T18:20:14,Light Rain,Good
"No. 78 Sir Chittampalam A Gardiner Mawatha, Colombo 02",2023-10-28,17:01,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Motorcycle; Bus; Three Wheeler,56+,0,1,Moderate,"No. 78 Sir Chittampalam A Gardiner Mawatha, Colombo 02, Colombo, Sri Lanka","No. 78 Sir Chittampalam A Gardiner Mawatha, Colombo 02, Colombo, Sri Lanka","78 Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9305753,79.84730929999999,"Rain, Partially cloudy",0.699,8.0,85.0,61.4,2023-10-28T05:57:27,2023-10-28T17:51:27,Light Rain,Good
Mattakkuliya Junction,2024-07-07,23:23,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,0,2,High,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318,"Rain, Partially cloudy",0.146,7.0,88.3,63.3,2024-07-07T06:00:32,2024-07-07T18:30:53,Light Rain,Good
Wellawatte Junction,2025-01-03,10:36,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Motorcycle,36-45,0,2,High,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Partially cloudy,0.0,5.1,72.6,43.2,2025-01-03T06:23:17,2025-01-03T18:07:12,Partially Cloudy,Moderate
Sea Street Pettah,2024-06-21,19:24,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Bus; Three Wheeler; Car,26-35,0,3,Low,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.523,6.7,80.1,59.5,2024-06-21T05:56:52,2024-06-21T18:28:19,Light Rain,Good
Fort Bus Stand Area,2025-02-06,16:36,Fatal,Rear-end Collision,Reckless Driving,2,Car; Van,18-25,1,5,High,"Fort Bus Stand Area, Colombo, Sri Lanka","Fort Bus Stand Area, Colombo, Sri Lanka","WVM4+6G8 Bastian Mawatha Bus Station, Olcott Mawatha, Colombo, Sri Lanka",6.932847,79.856589,Clear,0.0,4.9,70.5,11.3,2025-02-06T06:29:04,2025-02-06T18:20:36,Clear,Moderate
Havelock Town Junction,2024-04-08,07:14,Minor Injury,Multi-vehicle Collision,Driver Negligence,4,Three Wheeler; Car; Motorcycle; Bicycle,36-45,0,4,Low,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835,Partially cloudy,0.0,6.5,80.1,39.8,2024-04-08T06:05:31,2024-04-08T18:19:31,Partially Cloudy,Good
D R Wijewardena Mawatha Fort,2024-12-16,21:25,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,2,High,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139,Overcast,0.002,6.1,85.3,93.8,2024-12-16T06:14:48,2024-12-16T17:58:08,Overcast,Good
Madampitiya Road,2025-05-27,14:49,Serious Injury,Side-impact Collision,Mechanical Failure,3,Motorcycle; Car; Three Wheeler,46-55,0,2,High,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976,Partially cloudy,0.005,6.4,80.9,34.1,2025-05-27T05:53:27,2025-05-27T18:22:25,Partially Cloudy,Good
Dematagoda Junction,2025-12-29,10:10,Minor Injury,Side-impact Collision,Driver Negligence,1,Bus,26-35,0,2,Moderate,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195,Clear,0.008,6.7,69.7,19.6,2025-12-29T06:21:03,2025-12-29T18:04:30,Clear,Good
Pettah Market Area,2022-02-12,19:56,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,18-25,0,2,High,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187,"Rain, Partially cloudy",0.45,6.9,88.1,26.2,2022-02-12T06:28:16,2022-02-12T18:21:39,Light Rain,Good
"Junction of Perahera Mawatha and Sir James Pieris Mawatha, Colombo 02",2025-10-04,19:38,Serious Injury,Multi-vehicle Collision,Reckless Driving,2,Bicycle; Bus,46-55,0,4,High,"Junction of Perahera Mawatha and Sir James Pieris Mawatha, Colombo 02, Colombo, Sri Lanka","Junction of Perahera Mawatha and Sir James Pieris Mawatha, Colombo 02, Colombo, Sri Lanka","Perahera Mawatha & Sir James Pieris Mawatha, Colombo, Sri Lanka",6.9152206,79.8559811,"Rain, Partially cloudy",0.316,7.5,79.8,33.0,2025-10-04T05:58:12,2025-10-04T18:00:36,Light Rain,Good
