Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude
Sea Street Pettah,2025-02-16,09:12,Serious Injury,Multi-vehicle Collision,Poor Visibility,4,Motorcycle; Car; Three Wheeler; Bicycle,36-45,0,6,High,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Sea Street Kotahena,2024-08-16,20:10,Serious Injury,Motorcycle Collision,Unsafe Lane Change,1,Motorcycle,18-25,0,3,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Mattakkuliya Junction,2024-04-03,14:50,Serious Injury,Single Vehicle Crash,Overspeeding,1,Motorcycle,18-25,0,6,Moderate,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
Pettah Clock Tower Area,2024-05-17,09:46,Minor Injury,Side-impact Collision,Distracted Driving,3,Motorcycle; Van; Car,46-55,0,2,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Galle Road Fort,2025-12-20,21:10,Serious Injury,Single Vehicle Crash,Poor Visibility,1,Lorry,56+,0,2,Moderate,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204
"Junction of Sea Street and St. Anthony's Mawatha, Colombo 13",2022-09-19,16:49,Minor Injury,Side-impact Collision,Poor Visibility,1,Three Wheeler,46-55,0,4,Low,"Junction of Sea Street and St. Anthony's Mawatha, Colombo 13, Colombo, Sri Lanka","Junction of Sea Street and St. Anthony's Mawatha, Colombo 13, Colombo, Sri Lanka","Street Anthony's Mawatha, Colombo 01300, Sri Lanka",6.9460205,79.8562376
Narahenpita Junction,2025-11-11,09:04,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Car,26-35,0,1,Low,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281
Kochchikade Junction,2025-03-05,07:29,Serious Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,26-35,0,4,High,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Armour Street Junction,2022-02-02,13:09,Minor Injury,Single Vehicle Crash,Overspeeding,1,Bicycle,18-25,0,4,Low,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Borella Junction,2023-09-28,10:07,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Three Wheeler; Van,26-35,0,1,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
"Junction of Rajagiriya Flyover Approach and High Level Road, Rajagiriya",2023-05-26,06:41,Fatal,Rear-end Collision,Unsafe Lane Change,3,Three Wheeler; Car; Motorcycle,36-45,1,3,High,"Junction of Rajagiriya Flyover Approach and High Level Road, Rajagiriya, Colombo, Sri Lanka","Junction of Rajagiriya Flyover Approach and High Level Road, Rajagiriya, Colombo, Sri Lanka","Rajagiriya Flyover, Rajagiriya Flyover, Sri Lanka",6.9089212,79.8957392
"No. 27 Flower Road, Colombo 03",2023-06-30,19:13,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Bicycle; Van; Motorcycle,18-25,0,1,Low,"No. 27 Flower Road, Colombo 03, Colombo, Sri Lanka","No. 27 Flower Road, Colombo 03, Colombo, Sri Lanka","27 Flower Rd, Colombo 00700, Sri Lanka",6.909893899999999,79.857517
Kollupitiya Junction,2024-07-16,07:24,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,4,Low,"Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya Junction, Colombo, Sri Lanka","Kollupitiya - Sri Jayewardenepura Rd, Colombo, Sri Lanka",6.9117245,79.8614617
Borella Junction,2023-09-08,07:15,Minor Injury,Side-impact Collision,Driver Negligence,1,Car,18-25,0,3,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Borella Junction,2022-05-13,20:35,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
"Junction of Galle Road and Station Road, Dehiwela",2023-04-20,06:02,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Van,18-25,0,3,Moderate,"Junction of Galle Road and Station Road, Dehiwela, Colombo, Sri Lanka","Junction of Galle Road and Station Road, Dehiwela, Colombo, Sri Lanka","Station Rd & Galle Rd, Colombo, Sri Lanka",6.893782799999999,79.8554327
Union Place Borella,2025-09-28,13:03,Minor Injury,Head-on Collision,Failure to Yield,2,Bicycle; Motorcycle,36-45,0,2,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Darley Road Cinnamon Gardens,2023-02-12,22:12,Serious Injury,Rear-end Collision,Reckless Driving,2,Three Wheeler; Car,26-35,0,5,High,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
Colombo Fort Bus Stand Area,2023-10-25,21:14,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Car,36-45,0,2,High,"Colombo Fort Bus Stand Area, Colombo, Sri Lanka","Colombo Fort Bus Stand Area, Colombo, Sri Lanka","WVM4+6G8 Bastian Mawatha Bus Station, Olcott Mawatha, Colombo, Sri Lanka",6.932847,79.856589
Maharagama Town,2022-04-01,04:47,Minor Injury,Multi-vehicle Collision,Mechanical Failure,2,Three Wheeler; Bus,46-55,0,2,Moderate,"Maharagama Town, Colombo, Sri Lanka","Maharagama Town, Colombo, Sri Lanka","Maharagama Town, Maharagama, Sri Lanka",6.8446801,79.9342155
"No. 78 Sir Chittampalam A Gardiner Mawatha, Colombo 02",2023-10-28,17:01,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Motorcycle; Bus; Three Wheeler,56+,0,1,Moderate,"No. 78 Sir Chittampalam A Gardiner Mawatha, Colombo 02, Colombo, Sri Lanka","No. 78 Sir Chittampalam A Gardiner Mawatha, Colombo 02, Colombo, Sri Lanka","78 Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9305753,79.84730929999999
Mattakkuliya Junction,2024-07-07,23:23,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,0,2,High,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
Wellawatte Junction,2025-01-03,10:36,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Motorcycle,36-45,0,2,High,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Sea Street Pettah,2024-06-21,19:24,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Bus; Three Wheeler; Car,26-35,0,3,Low,"Sea Street Pettah, Colombo, Sri Lanka","Sea Street Pettah, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Fort Bus Stand Area,2025-02-06,16:36,Fatal,Rear-end Collision,Reckless Driving,2,Car; Van,18-25,1,5,High,"Fort Bus Stand Area, Colombo, Sri Lanka","Fort Bus Stand Area, Colombo, Sri Lanka","WVM4+6G8 Bastian Mawatha Bus Station, Olcott Mawatha, Colombo, Sri Lanka",6.932847,79.856589
Havelock Town Junction,2024-04-08,07:14,Minor Injury,Multi-vehicle Collision,Driver Negligence,4,Three Wheeler; Car; Motorcycle; Bicycle,36-45,0,4,Low,"Havelock Town Junction, Colombo, Sri Lanka","Havelock Town Junction, Colombo, Sri Lanka","Havelock Town, Colombo, Sri Lanka",6.886651899999999,79.8646835
D R Wijewardena Mawatha Fort,2024-12-16,21:25,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,2,High,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139
Madampitiya Road,2025-05-27,14:49,Serious Injury,Side-impact Collision,Mechanical Failure,3,Motorcycle; Car; Three Wheeler,46-55,0,2,High,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976
Dematagoda Junction,2025-12-29,10:10,Minor Injury,Side-impact Collision,Driver Negligence,1,Bus,26-35,0,2,Moderate,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195
Pettah Market Area,2022-02-12,19:56,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,18-25,0,2,High,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
"Junction of Perahera Mawatha and Sir James Pieris Mawatha, Colombo 02",2025-10-04,19:38,Serious Injury,Multi-vehicle Collision,Reckless Driving,2,Bicycle; Bus,46-55,0,4,High,"Junction of Perahera Mawatha and Sir James Pieris Mawatha, Colombo 02, Colombo, Sri Lanka","Junction of Perahera Mawatha and Sir James Pieris Mawatha, Colombo 02, Colombo, Sri Lanka","Perahera Mawatha & Sir James Pieris Mawatha, Colombo, Sri Lanka",6.9152206,79.8559811
Fort Railway Station Area,2023-08-07,07:26,Serious Injury,Motorcycle Collision,Drunk Driving,2,Motorcycle; Van,56+,0,4,Moderate,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Pettah Clock Tower Area,2024-11-03,13:30,Minor Injury,Rear-end Collision,Drunk Driving,3,Car; Three Wheeler; Bicycle,26-35,0,3,Low,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Panchikawatte,2025-12-25,19:30,Minor Injury,Rear-end Collision,Overspeeding,3,Bus; Car; Three Wheeler,18-25,0,4,Low,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835
Sea Street Junction,2024-09-15,19:40,Minor Injury,Side-impact Collision,Unsafe Lane Change,1,Three Wheeler,18-25,0,2,Moderate,"Sea Street Junction, Colombo, Sri Lanka","Sea Street Junction, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Maradana Junction,2025-04-06,07:30,Serious Injury,Pedestrian Collision,Failure to Yield,2,Motorcycle; Three Wheeler,36-45,0,5,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Armour Street Junction,2025-12-30,11:16,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Three Wheeler,36-45,0,4,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
T B Jayah Mawatha Maradana,2024-06-17,15:53,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,26-35,0,1,High,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082
D R Wijewardena Mawatha Dematagoda,2025-11-22,04:16,Serious Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Bicycle,56+,0,3,Moderate,"D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","D R Wijewardena Mawatha Dematagoda, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9315143,79.8545206
Panchikawatte,2024-07-22,15:43,Minor Injury,Pedestrian Collision,Reckless Driving,1,Car,36-45,0,2,Low,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835
Pettah Market Area,2025-10-24,22:04,Minor Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,46-55,0,4,Moderate,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
Kotahena Junction,2025-11-28,07:42,Minor Injury,Multi-vehicle Collision,Mechanical Failure,4,Van; Motorcycle; Three Wheeler; Bicycle,36-45,0,2,High,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Borella Junction,2025-02-08,17:28,Minor Injury,Head-on Collision,Driver Negligence,1,Three Wheeler,26-35,0,1,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
"No. 23 Pelawatta Road, Battaramulla",2025-11-06,18:52,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Van,56+,0,1,Low,"No. 23 Pelawatta Road, Battaramulla, Colombo, Sri Lanka","No. 23 Pelawatta Road, Battaramulla, Colombo, Sri Lanka","23 New Parliament Rd, Sri Jayawardenepura Kotte 10120, Sri Lanka",6.890988999999999,79.9281673
Hulftsdorp Junction,2025-11-03,15:17,Serious Injury,Rear-end Collision,Overspeeding,1,Van,46-55,0,3,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161
Messenger Street Pettah,2023-05-11,10:27,Minor Injury,Head-on Collision,Driver Fatigue,1,Lorry,36-45,0,1,Moderate,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Justice Akbar Mawatha Slave Island,2025-12-25,07:53,Fatal,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bus,18-25,1,2,High,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
Union Place Slave Island,2023-06-20,11:51,Minor Injury,Motorcycle Collision,Distracted Driving,1,Motorcycle,18-25,0,2,Low,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
Armour Street Pettah,2024-11-18,17:34,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Lorry; Motorcycle; Van,18-25,0,3,Low,"Armour Street Pettah, Colombo, Sri Lanka","Armour Street Pettah, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Maradana Junction,2025-01-07,17:49,Minor Injury,Side-impact Collision,Poor Visibility,4,Car; Motorcycle; Three Wheeler; Bicycle,18-25,0,1,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Borella Junction,2022-08-09,17:08,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Motorcycle; Three Wheeler; Lorry; Van,36-45,0,1,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Maradana Junction,2025-03-08,08:16,Minor Injury,Motorcycle Collision,Distracted Driving,3,Motorcycle; Van; Bicycle,26-35,0,3,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Pettah Clock Tower Area,2023-04-19,08:34,Serious Injury,Rear-end Collision,Driver Fatigue,2,Bicycle; Three Wheeler,18-25,0,5,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Union Place Borella,2023-07-24,18:12,Serious Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,56+,0,3,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Slave Island Junction,2024-05-18,11:56,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,26-35,0,1,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Armour Street Junction,2024-10-30,20:16,Minor Injury,Rear-end Collision,Driver Negligence,3,Three Wheeler; Bicycle; Van,18-25,0,1,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Fort Railway Station Area,2023-07-05,15:49,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,2,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Bambalapitiya Junction,2022-02-27,11:39,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bus,36-45,0,1,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
"No. 02 Lotus Road, Colombo 01",2025-06-17,08:41,Minor Injury,Pedestrian Collision,Poor Visibility,2,Three Wheeler; Bus,46-55,0,1,Low,"No. 02 Lotus Road, Colombo 01, Colombo, Sri Lanka","No. 02 Lotus Road, Colombo 01, Colombo, Sri Lanka","2 Lotus Rd, Colombo 00100, Sri Lanka",6.9317821,79.8448945
Duplication Road Bambalapitiya,2025-06-27,13:41,Minor Injury,Pedestrian Collision,Distracted Driving,2,Motorcycle; Three Wheeler,18-25,0,1,Moderate,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389
Justice Akbar Mawatha Slave Island,2022-01-24,04:38,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,26-35,0,2,Moderate,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
Madampitiya Road,2022-10-12,22:24,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bus,18-25,0,2,High,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976
Athurugiriya Junction,2023-06-19,11:04,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Car,26-35,0,2,Low,"Athurugiriya Junction, Colombo, Sri Lanka","Athurugiriya Junction, Colombo, Sri Lanka","Athurugiriya - Nawagamuwa Rd, Sri Lanka",6.9104395,80.0147818
Wellawatte Junction,2024-01-03,17:52,Minor Injury,Rear-end Collision,Distracted Driving,3,Car; Bicycle; Motorcycle,26-35,0,3,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Nelum Pokuna Area,2025-01-19,16:11,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Motorcycle,46-55,0,1,Low,"Nelum Pokuna Area, Colombo, Sri Lanka","Nelum Pokuna Area, Colombo, Sri Lanka","110 Ananda Coomaraswamy Mawatha, Colombo 00700, Sri Lanka",6.910803199999999,79.86344670000001
Fort Railway Station Area,2022-01-16,12:38,Fatal,Head-on Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,2,3,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Armour Street Junction,2025-08-14,09:08,Minor Injury,Multi-vehicle Collision,Distracted Driving,2,Car; Three Wheeler,26-35,0,2,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Union Place Slave Island,2024-05-07,18:09,Minor Injury,Head-on Collision,Driver Fatigue,3,Car; Bicycle; Motorcycle,18-25,0,3,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
T B Jayah Mawatha Maradana,2025-08-12,22:15,Minor Injury,Rear-end Collision,Overspeeding,2,Three Wheeler; Motorcycle,26-35,0,1,Low,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082
Maradana Junction,2024-07-05,17:07,Serious Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Car; Three Wheeler; Motorcycle,18-25,0,5,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Messenger Street Pettah,2025-03-09,21:57,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,2,Van; Motorcycle,56+,0,1,Low,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
